iter	Passed	Remaining
951	4931	248
952	4936	243
953	4940	238
954	4945	233
955	4952	227
956	4956	222
957	4962	217
958	4966	212
959	4971	207
960	4975	201
961	4979	196
962	4984	191
963	4989	186
964	4994	181
965	5001	176
966	5005	170
967	5009	165
968	5014	160
969	5018	155
970	5023	150
971	5027	144
972	5035	139
973	5039	134
974	5044	129
975	5048	124
976	5052	118
977	5057	113
978	5063	108
979	5067	103
980	5071	98
981	5076	93
982	5080	87
983	5084	82
984	5089	77
985	5092	72
986	5097	67
987	5101	61
988	5105	56
989	5109	51
990	5117	46
991	5123	41
992	5128	36
993	5132	30
994	5136	25
995	5140	20
996	5145	15
997	5149	10
998	5153	5
999	5157	0

992	5875	41
993	5879	35
994	5883	29
995	5887	23
996	5891	17
997	5895	11
998	5899	5
999	5903	0
